CULTURAL_PERIOD.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55
British Colonial (Egypt),Islamic (North Africa),"Islamic, Late (Ottoman/Saadi/Wattasid/Alaouite/Colonial) (North Africa)"
Byzantine (Egypt),Classical/Protohistoric/Pre-Islamic (North Africa),Byzantine (Cyrenaica/Egypt)
Contemporary/Present Period (AD 1950 - Present),Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)"
Early Dynastic (Egypt) (3000 - 2686 BC),Dynastic Egypt,Early Dynastic (Egypt)
"Early Dynastic, 1st Dynasty (Egypt)",Dynastic Egypt,Early Dynastic (Egypt)
Early Roman (Egypt),Classical/Protohistoric/Pre-Islamic (North Africa),"Roman Imperial, Early (North Africa)"
Epipalaeolithic (Egypt),Epipalaeolithic (North Africa),Epipalaeolithic (North Africa)
"First Intermediate Period, 9th-10th Dynasty (Egypt)",Dynastic Egypt,First Intermediate (Egypt)
Kingdom of Egypt (Egypt),Contemporary Islamic (MENA),"Contemporary Islamic, Early 20th century (MENA)"
Late Dynastic (Egypt) (664 - 332 BC),Dynastic Egypt,Late Dynastic (Egypt)
"Late Dynastic, 26th Dynasty (Egypt)",Dynastic Egypt,Late Dynastic (Egypt)
"Late Dynastic, 29th Dynasty (Egypt)",Dynastic Egypt,Late Dynastic (Egypt)
"Late Dynastic, 30th Dynasty (Egypt)",Dynastic Egypt,Late Dynastic (Egypt)
Late Roman (Egypt),Classical/Protohistoric/Pre-Islamic (North Africa),"Roman Imperial, Late (North Africa)"
Medieval (Egypt),Islamic (North Africa),
"Medieval, Ayyubid (Egypt)",Islamic (North Africa),"Islamic, Late (Ayyubid/Hafsid/Marinid/Zayyanid/Mamluk) (North Africa)"
"Medieval, Early Autonomous (Egypt)",Islamic (North Africa),
"Medieval, Early Caliphate (Egypt)",Islamic (North Africa),"Islamic, Early (Umayyad/Abbasid) (North Africa)"
"Medieval, Fatimid (Egypt)",Islamic (North Africa),"Islamic, Middle (Fatimid/Zirid/Hammadid/Almoravid/Almohad) (North Africa)"
"Medieval, Mamluk/Bahri (Egypt)",Islamic (North Africa),"Islamic, Late (Ayyubid/Hafsid/Marinid/Zayyanid/Mamluk) (North Africa)"
"Medieval, Mamluk/Circassian (Egypt)",Islamic (North Africa),"Islamic, Late (Ayyubid/Hafsid/Marinid/Zayyanid/Mamluk) (North Africa)"
Middle Kingdom (Egypt) (2055 - 1650 BC),Dynastic Egypt,Middle Kingdom (Egypt)
"Middle Kingdom, 11th Dynasty (Egypt)",Dynastic Egypt,Middle Kingdom (Egypt)
"Middle Kingdom, 12th Dynasty (Egypt)",Dynastic Egypt,Middle Kingdom (Egypt)
Middle Palaeolithic (Egypt),Palaeolithic (North Africa),"Palaeolithic, Middle (North Africa)"
Middle Roman (Egypt),Classical/Protohistoric/Pre-Islamic (North Africa),"Roman Imperial, Late (North Africa)"
Neolithic (Saharan Egypt),Neolithic (Egypt),
New Kingdom (Egypt) (1550 - 1069 BC),Dynastic Egypt,New Kingdom (Egypt)
"New Kingdom, 18th Dynasty (Egypt)",Dynastic Egypt,New Kingdom (Egypt)
"New Kingdom, Ramessid (Egypt)",Dynastic Egypt,New Kingdom (Egypt)
"New Kingdom, Ramessid, 19th Dynasty (Egypt)",Dynastic Egypt,New Kingdom (Egypt)
"New Kingdom, Ramessid, 20th Dynasty (Egypt)",Dynastic Egypt,New Kingdom (Egypt)
Old Kingdom (Egypt) (2686 - 2125 BC),Dynastic Egypt,Old Kingdom (Egypt)
"Old Kingdom, 3rd Dynasty (Egypt)",Dynastic Egypt,Old Kingdom (Egypt)
"Old Kingdom, 4th Dynasty (Egypt)",Dynastic Egypt,Old Kingdom (Egypt)
"Old Kingdom, 5th Dynasty (Egypt)",Dynastic Egypt,Old Kingdom (Egypt)
"Old Kingdom, 6th Dynasty (Egypt)",Dynastic Egypt,Old Kingdom (Egypt)
Ottoman (Egypt),Islamic (North Africa),"Islamic, Late (Ottoman/Saadi/Wattasid/Alaouite/Colonial) (North Africa)"
Ottoman/Napoleonic occupation (Egypt),Islamic (North Africa),"Islamic, Late (Ottoman/Saadi/Wattasid/Alaouite/Colonial) (North Africa)"
Predynastic Period (Egypt),Predynastic Egypt,"Predynastic, Early (Egypt)"
"Ptolemaic Period, Macedonian/Ptolemaic Dynasties (Egypt)",Classical/Protohistoric/Pre-Islamic (North Africa),Hellenistic/Ptolemaic (Cyrenaica/Egypt)
Roman (Egypt),Classical/Protohistoric/Pre-Islamic (North Africa),Roman Imperial (North Africa)
"Second Intermediate Period, 15th Dynasty (Egypt)",Dynastic Egypt,Second Intermediate (Egypt)
"Second Intermediate Period, 16th Dynasty (Egypt)",Dynastic Egypt,Second Intermediate (Egypt)
"Second Intermediate Period, 17th Dynasty (Egypt)",Dynastic Egypt,Second Intermediate (Egypt)
Unknown,Unknown,
BRONZE AGE,BRONZE AGE,
Bronze Age (Arabia),Bronze Age (Arabia),
Bronze Age (Levant),Bronze Age (Levant),
"Bronze Age, Akkadian (Southern Mesopotamia)",Bronze Age (Southern Mesopotamia),"Bronze Age, Akkadian (Southern Mesopotamia)"
"Bronze Age, Early Dynastic I (Southern Mesopotamia)",Bronze Age (Southern Mesopotamia),"Bronze Age, Early Dynastic I (Southern Mesopotamia)"
"Bronze Age, Early Dynastic II (Southern Mesopotamia)",Bronze Age (Southern Mesopotamia),"Bronze Age, Early Dynastic II (Southern Mesopotamia)"
"Bronze Age, Early Dynastic III (Southern Mesopotamia)",Bronze Age (Southern Mesopotamia),"Bronze Age, Early Dynastic III (Southern Mesopotamia)"
"Bronze Age, Jemdat Nasr (Southern Mesopotamia)",Bronze Age (Southern Mesopotamia),"Bronze Age, Jemdat Nasr (Southern Mesopotamia)"
"Bronze Age, Kassite (Southern Mesopotamia)",Bronze Age (Southern Mesopotamia),"Bronze Age, Kassite (Southern Mesopotamia)"
"Bronze Age, Old Babylonian (Southern Mesopotamia)",Bronze Age (Southern Mesopotamia),"Bronze Age, Old Babylonian (Southern Mesopotamia)"
"Bronze Age, Ur III Period (Southern Mesopotamia)",Bronze Age (Southern Mesopotamia),"Bronze Age, Ur III Period (Southern Mesopotamia)"
Byzantine (Cyrenaica/Egypt),Classical/Protohistoric/Pre-Islamic (North Africa),Byzantine (Cyrenaica/Egypt)
Byzantine (Levant/Mesopotamia),Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman/Byzantine (Levant/Mesopotamia)
Byzantine (Maghreb),Classical/Protohistoric/Pre-Islamic (North Africa),Byzantine (Maghreb)
CONTEMPORARY ISLAMIC,CONTEMPORARY ISLAMIC,
Chalcolithic (Levant),Chalcolithic (Levant),
"Chalcolithic, Early (Levant)",Chalcolithic (Levant),"Chalcolithic, Early (Levant)"
"Chalcolithic, Early/Ubaid (Mesopotamia)",Chalcolithic (Mesopotamia),"Chalcolithic, Early/Ubaid (Mesopotamia)"
"Chalcolithic, Late (Levant)",Chalcolithic (Levant),"Chalcolithic, Late (Levant)"
"Chalcolithic, Late/Uruk (Mesopotamia)",Chalcolithic (Mesopotamia),"Chalcolithic, Late/Uruk (Mesopotamia)"
Classical (Cyrenaica),Classical/Protohistoric/Pre-Islamic (North Africa),Classical (Cyrenaica)
Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),
Classical/Protohistoric/Pre-Islamic (North Africa),Classical/Protohistoric/Pre-Islamic (North Africa),
Contemporary Islamic (MENA),Contemporary Islamic (MENA),
"Contemporary Islamic, Early 20th century (MENA)",Contemporary Islamic (MENA),"Contemporary Islamic, Early 20th century (MENA)"
"Contemporary Islamic, Modern (MENA)",Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)"
Early Bronze Age (Arabia),Bronze Age (Arabia),Early Bronze Age (Arabia)
Early Bronze Age (Northern Levant),Bronze Age (Levant),Early Bronze Age (Northern Levant)
Early Bronze Age (Northern Mesopotamia),Bronze Age (Northern Mesopotamia),Early Bronze Age (Northern Mesopotamia)
Early Bronze Age (Southern Levant),Bronze Age (Levant),Early Bronze Age (Southern Levant)
Early Bronze Age 1 (Southern Levant),Bronze Age (Levant),Early Bronze Age 1 (Southern Levant)
Early Bronze Age 2 (Southern Levant),Bronze Age (Levant),Early Bronze Age 2 (Southern Levant)
Early Bronze Age 3 (Southern Levant),Bronze Age (Levant),Early Bronze Age 3 (Southern Levant)
Early Bronze Age 4 (Southern Levant),Bronze Age (Levant),Early Bronze Age 4 (Southern Levant)
"Early Bronze Age, 1-3 (Northern Levant)",Bronze Age (Levant),"Early Bronze Age, 1-3 (Northern Levant)"
"Early Bronze Age, 4 (Northern Levant)",Bronze Age (Levant),"Early Bronze Age, 4 (Northern Levant)"
"Early Bronze Age, Early (Northern Mesopotamia)",Bronze Age (Northern Mesopotamia),"Early Bronze Age, Early (Northern Mesopotamia)"
"Early Bronze Age, Late (Northern Mesopotamia)",Bronze Age (Northern Mesopotamia),"Early Bronze Age, Late (Northern Mesopotamia)"
Early Iron Age (Arabia),Iron Age (Arabia),Early Iron Age (Arabia)
Early South Arabian (Southern Arabia),South Arabian Period (Southern Arabia),Early South Arabian (Southern Arabia)
Epipalaeolithic (Levant/Mesopotamia),Epipalaeolithic (Levant/Mesopotamia),
"Epipalaeolithic, Early-Late (North Africa)",Epipalaeolithic (North Africa),
"Epipalaeolithic, Late (Levant/Mesopotamia)",Epipalaeolithic (Levant/Mesopotamia),"Epipalaeolithic, Late (Levant/Mesopotamia)"
First Intermediate Period (Egypt),Dynastic Egypt,First Intermediate (Egypt)
First World War (MENA),Contemporary Islamic (MENA),First World War (MENA)
Hellenistic/Ptolemaic (Cyrenaica/Egypt),Classical/Protohistoric/Pre-Islamic (North Africa),Hellenistic/Ptolemaic (Cyrenaica/Egypt)
"Hellenistic/Seleucid, Late (Levant/Mesopotamia)",Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),"Hellenistic/Seleucid, Late (Levant/Mesopotamia)"
Iron Age (Arabia),Iron Age (Arabia),
Iron Age (Iran),Iron Age (Iran),
Iron Age (Levant/Mesopotamia),Iron Age (Levant/Mesopotamia),
Iron Age (Northern Levant),Iron Age (Levant/Mesopotamia),
Iron Age (Southern Levant),Iron Age (Levant/Mesopotamia),
Iron Age 1 (Southern Levant),Iron Age (Levant/Mesopotamia),Iron Age 1 (Southern Levant)
Iron Age 2 (Southern Levant),Iron Age (Levant/Mesopotamia),Iron Age 2 (Southern Levant)
Iron Age 3 (Southern Levant),Iron Age (Levant/Mesopotamia),Iron Age 3 (Southern Levant)
"Iron Age, Early (Maghreb)",Iron Age (Levant/Mesopotamia),"Iron Age, Early (Maghreb)"
"Iron Age, Early (Northern Levant)",Iron Age (Levant/Mesopotamia),"Iron Age, Early (Northern Levant)"
"Iron Age, Late (Northern Levant)",Iron Age (Levant/Mesopotamia),"Iron Age, Late (Northern Levant)"
"Iron Age, Late/Neo-Assyrian (Mesopotamia)",Iron Age (Levant/Mesopotamia),"Iron Age, Late/Neo-Assyrian (Mesopotamia)"
"Iron Age, Late/Punic, Early (Maghreb)",Iron Age (Maghreb),"Iron Age, Late/Punic, Early (Maghreb)"
"Iron Age, Middle (Northern Levant)",Iron Age (Levant/Mesopotamia),"Iron Age, Middle (Northern Levant)"
"Iron Age, Neo-Babylonian (Mesopotamia)",Iron Age (Levant/Mesopotamia),"Iron Age, Neo-Babylonian (Mesopotamia)"
"Iron Age, Post-Assyrian/Achaemenid/Persian (Levant/Mesopotamia)",Iron Age (Levant/Mesopotamia),"Iron Age, Post-Assyrian/Achaemenid/Persian (Levant/Mesopotamia)"
Islamic (Iraq),Islamic (Iraq),
Islamic (Levant/Arabia),Islamic (Levant/Arabia),
Islamic (North Africa),Islamic (North Africa),
"Islamic, Early (Early Caliphate/Umayyad) (Iraq)",Islamic (Iraq),"Islamic, Early (Early Caliphate/Umayyad) (Iraq)"
"Islamic, Early (Umayyad/Abbasid) (North Africa)",Islamic (North Africa),"Islamic, Early (Umayyad/Abbasid) (North Africa)"
"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)",Islamic (Levant/Arabia),"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)"
"Islamic, Early (Ummayad/Abbasid) (Iran)",Islamic (Iran),"Islamic, Early (Ummayad/Abbasid) (Iran)"
"Islamic, Late (Ayyubid/Hafsid/Marinid/Zayyanid/Mamluk) (North Africa)",Islamic (North Africa),"Islamic, Late (Ayyubid/Hafsid/Marinid/Zayyanid/Mamluk) (North Africa)"
"Islamic, Late (Mamluk/Rasulid) (Levant/Arabia)",Islamic (Levant/Arabia),"Islamic, Late (Mamluk/Rasulid) (Levant/Arabia)"
"Islamic, Late (Ottoman) (Iraq)",Islamic (Iraq),"Islamic, Late (Ottoman) (Iraq)"
"Islamic, Late (Ottoman) (Levant/Arabia)",Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)"
"Islamic, Late (Ottoman/Saadi/Wattasid/Alaouite/Colonial) (North Africa)",Islamic (North Africa),"Islamic, Late (Ottoman/Saadi/Wattasid/Alaouite/Colonial) (North Africa)"
"Islamic, Late (Post-Abbasid) (Iraq)",Islamic (Iraq),"Islamic, Late (Post-Abbasid) (Iraq)"
"Islamic, Late (Timurid/Safavid/Qajar) (Iran)",Islamic (Iran),"Islamic, Late (Timurid/Safavid/Qajar) (Iran)"
"Islamic, Middle (Abbasid) (Iraq)",Islamic (Iraq),"Islamic, Middle (Abbasid) (Iraq)"
"Islamic, Middle (Fatimid/Ayyubid) (Levant/Arabia)",Islamic (Levant/Arabia),"Islamic, Middle (Fatimid/Ayyubid) (Levant/Arabia)"
"Islamic, Middle (Fatimid/Ayyubid) (Levant/Arabia) - TO CHANGE",Islamic (Levant/Arabia),"Islamic, Middle (Fatimid/Ayyubid) (Levant/Arabia)"
"Islamic, Middle (Fatimid/Zirid/Hammadid/Almoravid/Almohad) (North Africa)",Islamic (North Africa),"Islamic, Middle (Fatimid/Zirid/Hammadid/Almoravid/Almohad) (North Africa)"
"Islamic, Middle (Mongol/Ilkhanid/Muzaffarid/Jalayrid) (Iran)",Islamic (Iran),"Islamic, Middle (Mongol/Ilkhanid/Muzaffarid/Jalayrid) (Iran)"
Late Bronze Age (Arabia),Bronze Age (Arabia),Late Bronze Age (Arabia)
Late Bronze Age (Levant),Bronze Age (Levant),Late Bronze Age (Levant)
Late Bronze Age 1 (Levant),Bronze Age (Levant),Late Bronze Age 1 (Levant)
Late Bronze Age 1/Mittani (Northern Mesopotamia),Bronze Age (Northern Mesopotamia),Late Bronze Age 1/Mittani (Northern Mesopotamia)
Late Bronze Age 2 (Levant),Bronze Age (Levant),Late Bronze Age 2 (Levant)
Late Bronze Age 2/Middle Assyrian (Northern Mesopotamia),Bronze Age (Northern Mesopotamia),Late Bronze Age 2/Middle Assyrian (Northern Mesopotamia)
Late Dynastic (Egypt),Dynastic Egypt,Late Dynastic (Egypt)
Late Iron Age (Arabia),Iron Age (Arabia),Late Iron Age (Arabia)
Late Islamic (Arabia/Levant/Mesopotamia),Islamic (Levant/Arabia),
Late South Arabian (Southern Arabia),South Arabian Period (Southern Arabia),Late South Arabian (Southern Arabia)
Middle Bronze Age (Levant),Bronze Age (Levant),Middle Bronze Age (Levant)
Middle Bronze Age 1 (Levant),Bronze Age (Levant),Middle Bronze Age 1 (Levant)
Middle Bronze Age 2 (Levant),Bronze Age (Levant),Middle Bronze Age 2 (Levant)
Middle Bronze Age/Old Assyrian (Northern Mesopotamia),Bronze Age (Northern Mesopotamia),Middle Bronze Age/Old Assyrian (Northern Mesopotamia)
Middle Iron Age (Arabia),Iron Age (Arabia),Middle Iron Age (Arabia)
Middle Kingdom (Egypt),Dynastic Egypt,Middle Kingdom (Egypt)
Middle South Arabian (Southern Arabia),South Arabian Period (Southern Arabia),Middle South Arabian (Southern Arabia)
Nabataean (Levant/Northern Arabia),Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Nabataean (Levant/Northern Arabia)
Neolithic (Arabia),Neolithic (Arabia),
Neolithic (Iran),Neolithic (Iran),
Neolithic (Levant/Mesopotamia),Neolithic (Levant/Mesopotamia),
Neolithic (Maghreb),Neolithic (Maghreb),
"Neolithic, Early (Egypt)",Neolithic (Egypt),"Neolithic, Early (Egypt)"
"Neolithic, Early/Aceramic/Pre-Pottery (Levant/Mesopotamia)",Neolithic (Levant/Mesopotamia),"Neolithic, Early/Aceramic/Pre-Pottery (Levant/Mesopotamia)"
"Neolithic, Early/Aceramic/Pre-Pottery A (Levant/Mesopotamia)",Neolithic (Levant/Mesopotamia),"Neolithic, Early/Aceramic/Pre-Pottery A (Levant/Mesopotamia)"
"Neolithic, Early/Aceramic/Pre-Pottery B (Levant/Mesopotamia)",Neolithic (Levant/Mesopotamia),"Neolithic, Early/Aceramic/Pre-Pottery B (Levant/Mesopotamia)"
"Neolithic, Early/Aceramic/Pre-Pottery C (South Levant)",Neolithic (Levant/Mesopotamia),"Neolithic, Early/Aceramic/Pre-Pottery C (South Levant)"
"Neolithic, Early/Aceramic/Pre-pottery (Central Zagros, Iran)",Neolithic (Iran),"Neolithic, Early/Aceramic/Pre-pottery (Central Zagros, Iran)"
"Neolithic, Late/Ceramic/Pottery (Levant/Mesopotamia)",Neolithic (Levant/Mesopotamia),"Neolithic, Late/Ceramic/Pottery (Levant/Mesopotamia)"
"Neolithic, Late/Ceramic/Pottery, Early (Levant/Mesopotamia)",Neolithic (Levant/Mesopotamia),"Neolithic, Late/Ceramic/Pottery, Early (Levant/Mesopotamia)"
"Neolithic, Late/Ceramic/Pottery, Late (Levant/Mesopotamia)",Neolithic (Levant/Mesopotamia),"Neolithic, Late/Ceramic/Pottery, Late (Levant/Mesopotamia)"
New Kingdom (Egypt),Dynastic Egypt,New Kingdom (Egypt)
Old Kingdom (Egypt),Dynastic Egypt,Old Kingdom (Egypt)
Palaeolithic (Levant/Mesopotamia/Arabia),Palaeolithic (Levant/Mesopotamia/Arabia),
Palaeolithic (North Africa),Palaeolithic (North Africa),
"Palaeolithic, Lower (Levant/Arabia/Mesopotamia)",Palaeolithic (Levant/Mesopotamia/Arabia),"Palaeolithic, Lower (Levant/Arabia/Mesopotamia)"
"Palaeolithic, Middle (Levant/Arabia/Mesopotamia)",Palaeolithic (Levant/Mesopotamia/Arabia),"Palaeolithic, Middle (Levant/Arabia/Mesopotamia)"
"Palaeolithic, Middle (North Africa)",Palaeolithic (North Africa),"Palaeolithic, Middle (North Africa)"
"Palaeolithic, Upper (Levant/Arabia/Mesopotamia)",Palaeolithic (Levant/Mesopotamia/Arabia),"Palaeolithic, Upper (Levant/Arabia/Mesopotamia)"
Parthian (Levant/Mesopotamia/Iran/Northern Arabia),Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Parthian (Levant/Mesopotamia/Iran/Northern Arabia)
Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran),Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran)
"Post-Achaemenid/Hellenistic/Seleucid, Early (Levant/Mesopotamia/Iran)",Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),"Post-Achaemenid/Hellenistic/Seleucid, Early (Levant/Mesopotamia/Iran)"
Predynastic (Egypt),Predynastic Egypt,
"Predynastic, Early (Egypt)",Predynastic Egypt,"Predynastic, Early (Egypt)"
"Predynastic, Late (Egypt)",Predynastic Egypt,"Predynastic, Late (Egypt)"
Proto South Arabian (Southern Arabia),Iron Age (Arabia),Proto South Arabian (Southern Arabia)
"Protohistoric, Early (North Africa)",Classical/Protohistoric/Pre-Islamic (North Africa),"Protohistoric, Early (North Africa)"
"Punic, Late (Maghreb)",Classical/Protohistoric/Pre-Islamic (North Africa),"Punic, Late (Maghreb)"
Roman Imperial (Levant/Mesopotamia),Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman Imperial (Levant/Mesopotamia)
Roman Imperial (North Africa),Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman Imperial (North Africa)
"Roman Imperial, Early (Levant/Mesopotamia)",Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),"Roman Imperial, Early (Levant/Mesopotamia)"
"Roman Imperial, Early (North Africa)",Classical/Protohistoric/Pre-Islamic (North Africa),"Roman Imperial, Early (North Africa)"
"Roman Imperial, Late (Levant/Mesopotamia)",Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),"Roman Imperial, Late (Levant/Mesopotamia)"
"Roman Imperial, Late (North Africa)",Classical/Protohistoric/Pre-Islamic (North Africa),"Roman Imperial, Late (North Africa)"
"Roman, Republican (Maghreb)",Classical/Protohistoric/Pre-Islamic (North Africa),"Roman, Republican (Maghreb)"
Roman/Byzantine (Levant/Mesopotamia),Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman/Byzantine (Levant/Mesopotamia)
Roman/Late Antique (North Africa),Classical/Protohistoric/Pre-Islamic (North Africa),Roman/Late Antique (North Africa)
Sasanian (Levant/Mesopotamia/Iran/Northern Arabia),Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Sasanian (Levant/Mesopotamia/Iran/Northern Arabia)
Second Intermediate Period (Egypt),Dynastic Egypt,Second Intermediate (Egypt)
Second World War (MENA),Contemporary Islamic (MENA),Second World War (MENA)
South Arabian Period (Southern Arabia),South Arabian Period (Southern Arabia),
Third Intermediate Period (Egypt),Dynastic Egypt,Third Intermediate (Egypt)
Vandal (Maghreb),Classical/Protohistoric/Pre-Islamic (North Africa),Vandal (Maghreb)
